unit_name,asa,background,fur,skin,eyes,posture,clothing,hats,item,accessories,rarity_score,rank,name
AGA320,449477065,Purple and Light Green,Normal,Red,Normal,Arm down,White Tanktop,,,Silver Algo Necklace,68.42803828434748,945,AlgorillaArmy#320
AGA1000,545210512,Grey and Green,Normal,Yellow,Green,Arm down,,,,Red Clown Nose,68.20284299649593,946,AlgorillaArmy#1000
AGA534,545073461,Brown and Gold Radial,Normal,Normal,Green,Arm down,Light Blue Tanktop,,,,68.07133199541971,947,AlgorillaArmy#534
AGA883,545192274,Light Grey and Yellow,Normal,Normal,Purple,Arm down,Orange Hawaiian Shirt,,,,67.75685568164465,948,AlgorillaArmy#883
AGA898,545195903,Grey and Green,Red,Green,Blue,Arm down,,,,Anderson Glasses,67.59794647089387,949,AlgorillaArmy#898
AGA802,545149621,Bright Pink and Light Blue,Yellow,Red,Red,"Arm down, smiling",Red Tanktop,,,,67.52324639253625,950,AlgorillaArmy#802
AGA456,545039808,Sky Blue and White,Normal,Yellow,Normal,Arm down,Pink Vneck,,,,66.66768840292345,951,AlgorillaArmy#456
AGA710,545139345,Light Pink and Red,Red,Normal,Yellow,Arm down,,Green Fishing Hat,,,65.87048659694779,952,AlgorillaArmy#710
AGA266,425841788,Purple and Light Green,Normal,Yellow,Yellow,Arm down,Purple Hawaiian Shirt,,,,65.59100271949193,953,AlgorillaArmy#266
AGA632,545091193,Light Green and Mid Green,Normal,Green,Normal,"Arm down, smiling",White Tanktop,Yellow Beanie,,,65.28179912960744,954,AlgorillaArmy#632
AGA713,545139604,Bright Pink and Purple,Normal,Green,Blue,Arm up,White Tanktop,,Green Cocktail,,65.03258371935377,955,AlgorillaArmy#713
AGA900,545196347,White and Pink,Pink,Green,Pink,"Arm down, smiling",,,,Yellow Shutter Shades,64.95538133162209,956,AlgorillaArmy#900
AGA539,545073960,Light Blue and Deep Blue,Normal,Red,Blue,"Arm down, smiling",,,,Red Clown Nose,64.31628106526675,957,AlgorillaArmy#539
AGA232,409032966,Orange and Green,Normal,Green,Normal,"Arm down, smiling",Blue Vneck,,,,64.09389947392619,958,AlgorillaArmy#232
AGA963,545206025,White and Pink,Normal,Silver,Normal,Arm down,,Blue Fishing Hat,,,63.999500649599696,959,AlgorillaArmy#963
AGA272,425870664,White and Orange,Green,Green,Normal,Arm down,Blue Hawaiian Shirt,,,,63.82442228321436,960,AlgorillaArmy#272
AGA51,378823684,Sky Blue and White,Pink,Red,Normal,Arm down,Orange Hawaiian Shirt,,,,63.19064964331463,961,AlgorillaArmy#51
AGA188,384755242,Grey and Silver Radial,Green,Green,Normal,Arm down,Red Tanktop,,,,63.18606905538263,962,AlgorillaArmy#188
AGA969,545206643,Orange and Green,Normal,Normal,Red,"Arm down, smiling",,White Fishing Hat,,,62.40936855395278,963,AlgorillaArmy#969
AGA717,545140087,White and Pink,Normal,Blue,Purple,"Arm down, smiling",Yellow Tanktop,,,,61.93705616072916,964,AlgorillaArmy#717
AGA619,545087192,Grey and Green,Normal,Pink,Normal,"Arm down, smiling",,Yellow Beanie,,,61.8464484600278,965,AlgorillaArmy#619
AGA342,449533385,White and Purple,Yellow,Purple,Normal,Arm down,White Tanktop,,,,61.324380187111935,966,AlgorillaArmy#342
AGA669,545101770,Orange and Green,Red,Yellow,Normal,Arm down,,Green Fishing Hat,,,60.40964872566775,967,AlgorillaArmy#669
AGA816,545151002,Bright Pink and Purple,Red,Normal,Blue,"Arm down, smiling",Orange Hawaiian Shirt,,,,59.59729948247926,968,AlgorillaArmy#816
AGA196,384766290,Sky Blue and White,Blue,Green,Green,"Arm down, smiling",Yellow Tanktop,,,,58.84376385673617,969,AlgorillaArmy#196
AGA253,409106622,Purple and Light Green,Purple,Red,Normal,Arm down,,,,Blue Shutter Shades,58.28543854891898,970,AlgorillaArmy#253
AGA460,545040771,Light Blue and Deep Blue,Yellow,Red,Blue,"Arm down, smiling",,,,White Shudder Shades,57.96352358137966,971,AlgorillaArmy#460
AGA589,545080023,Light Grey and Yellow,Normal,Pink,Normal,"Arm down, smiling",,Blue Fishing Hat,,,57.48771195843416,972,AlgorillaArmy#589
AGA910,545198701,White and Orange,Normal,Blue,Bloodshot,"Arm down, smiling",White Tanktop,,,,57.41188281131705,973,AlgorillaArmy#910
AGA170,384724844,Orange and Green,Normal,Green,Normal,"Arm up, smiling",,,Blue Selfiestick,,57.02582296747414,974,AlgorillaArmy#170
AGA437,545034706,White and Pink,Yellow,Yellow,Blue,"Arm down, smiling",Yellow Tanktop,,,,56.90610488995264,975,AlgorillaArmy#437
AGA338,449521466,Grey and Silver Radial,Normal,Purple,Normal,"Arm down, smiling",,,,Blue Shutter Shades,56.35518085108186,976,AlgorillaArmy#338
AGA399,545001872,Light Green and Mid Green,Normal,Yellow,Blue,Arm down,,,,Neo Glasses,56.24975167454066,977,AlgorillaArmy#399
AGA781,545147116,Light Green and Mid Green,Normal,Yellow,Normal,Arm down,,,,Black Eyepatch,55.62279273229187,978,AlgorillaArmy#781
AGA695,545137865,Grey and Silver Radial,Normal,Pink,Blue,"Arm down, smiling",Yellow Tanktop,,,,55.54771836209601,979,AlgorillaArmy#695
AGA998,545210283,Bright Pink and Purple,Normal,Green,Normal,"Arm down, smiling",White Tanktop,,,White Shudder Shades,54.95473293297602,980,AlgorillaArmy#998
AGA64,378879791,White and Purple,Normal,Green,Normal,Arm down,Blue Hawaiian Shirt,,,,54.31640973588867,981,AlgorillaArmy#64
AGA877,545190669,White and Purple,Normal,Green,Normal,Arm down,Blue Hawaiian Shirt,,,,54.31640973588867,982,AlgorillaArmy#877
AGA36,377734918,Bright Pink and Purple,Normal,Pink,Green,Arm down,,,,Blue Shutter Shades,53.31819455020365,983,AlgorillaArmy#36
AGA585,545079496,Light Green and Mid Green,Blue,Blue,Blue,Arm down,White Tanktop,,,,52.77802204769274,984,AlgorillaArmy#585
AGA340,449526369,Light Pink and Red,Normal,Pink,Normal,"Arm down, smiling",Yellow Tanktop,,,,52.57212629096879,985,AlgorillaArmy#340
AGA743,545142878,Sky Blue and White,Normal,Red,Normal,"Arm down, smiling",Blue Hawaiian Shirt,,,,50.93010563831413,986,AlgorillaArmy#743
AGA687,545106908,Purple and Light Green,Blue,Blue,Red,"Arm down, smiling",,,,,49.98518969169028,987,AlgorillaArmy#687
AGA688,545107135,Orange and Green,Normal,Yellow,Normal,"Arm down, smiling",Red Tanktop,,,,49.35221754474425,988,AlgorillaArmy#688
AGA476,545045406,Orange and Green,Normal,Normal,Blue,Arm down,Blue Hawaiian Shirt,,,,49.05902089651684,989,AlgorillaArmy#476
AGA419,545029232,Light Green and Mid Green,Normal,Normal,Yellow,"Arm down, smiling",Light Blue Tanktop,,,,47.23813986628036,990,AlgorillaArmy#419
AGA560,545076348,Grey and Silver Radial,Normal,Normal,Normal,"Arm down, smiling",,,,Blue Shutter Shades,44.39318451408553,991,AlgorillaArmy#560
AGA457,545040017,Light Green and Mid Green,Yellow,Normal,Green,"Arm down, smiling",,,,,41.09310964147352,992,AlgorillaArmy#457
AGA211,408972582,Bright Pink and Light Blue,Red,Green,Normal,Arm down,,,,,39.92963015854964,993,AlgorillaArmy#211
AGA151,384697981,White and Pink,Normal,Pink,Green,Arm down,,,,,38.60605089970384,994,AlgorillaArmy#151
AGA907,545197809,Orange and Green,Normal,Red,Red,Arm down,,,,,37.77699947052576,995,AlgorillaArmy#907
AGA731,545141683,White and Orange,Normal,Pink,Normal,Arm down,,,,,37.38600111233738,996,AlgorillaArmy#731
AGA616,545086137,Grey and Silver Radial,Normal,Normal,Yellow,"Arm down, smiling",,,,,36.653432220103454,997,AlgorillaArmy#616
AGA485,545048148,White and Orange,Normal,Normal,Blue,Arm down,,,,,32.42231528048435,998,AlgorillaArmy#485
AGA735,545142045,Grey and Green,Normal,Normal,Blue,"Arm down, smiling",,,,,31.882762628174763,999,AlgorillaArmy#735
AGA488,545049062,Orange and Green,Normal,Red,Normal,"Arm down, smiling",,,,,30.19444295218705,1000,AlgorillaArmy#488
